"id","date","price","product","source"
"103923","27/10/2003","3110","Butter","ZuivelNL"
"103924","3/11/2003","3080","Butter","ZuivelNL"
"103925","10/11/2003","3080","Butter","ZuivelNL"
"103926","17/11/2003","3080","Butter","ZuivelNL"
"103927","1/12/2003","3050","Butter","ZuivelNL"
"103928","8/12/2003","3050","Butter","ZuivelNL"
"103929","15/12/2003","3050","Butter","ZuivelNL"
"103930","5/1/2004","3010","Butter","ZuivelNL"
"103931","12/1/2004","3010","Butter","ZuivelNL"
"103932","19/1/2004","3010","Butter","ZuivelNL"
"103933","26/1/2004","3000","Butter","ZuivelNL"
"103934","2/2/2004","3000","Butter","ZuivelNL"
"103935","9/2/2004","3000","Butter","ZuivelNL"
"103936","16/2/2004","3000","Butter","ZuivelNL"
"103937","23/2/2004","3000","Butter","ZuivelNL"
"103938","1/3/2004","3000","Butter","ZuivelNL"
"103939","8/3/2004","3000","Butter","ZuivelNL"
"103940","15/3/2004","3000","Butter","ZuivelNL"
"103941","22/3/2004","3000","Butter","ZuivelNL"
"103942","29/3/2004","3000","Butter","ZuivelNL"
"103943","5/4/2004","3000","Butter","ZuivelNL"
"103944","12/4/2004","3000","Butter","ZuivelNL"
"103945","19/4/2004","3000","Butter","ZuivelNL"
"103946","26/4/2004","3000","Butter","ZuivelNL"
"103947","3/5/2004","3000","Butter","ZuivelNL"
"103948","10/5/2004","3000","Butter","ZuivelNL"
"103949","17/5/2004","3010","Butter","ZuivelNL"
"103950","24/5/2004","3010","Butter","ZuivelNL"
"103951","31/5/2004","3020","Butter","ZuivelNL"
"103952","7/6/2004","3020","Butter","ZuivelNL"
"103953","14/6/2004","3020","Butter","ZuivelNL"
"103954","21/6/2004","3020","Butter","ZuivelNL"
"103955","28/6/2004","3020","Butter","ZuivelNL"
"103956","5/7/2004","3020","Butter","ZuivelNL"
"103957","12/7/2004","3020","Butter","ZuivelNL"
"103958","19/7/2004","3020","Butter","ZuivelNL"
"103959","26/7/2004","3020","Butter","ZuivelNL"
"103960","2/8/2004","3020","Butter","ZuivelNL"
"103961","9/8/2004","3020","Butter","ZuivelNL"
"103962","16/8/2004","3020","Butter","ZuivelNL"
"103963","23/8/2004","3020","Butter","ZuivelNL"
"103964","30/8/2004","3020","Butter","ZuivelNL"
"103965","6/9/2004","3020","Butter","ZuivelNL"
"103966","13/9/2004","3020","Butter","ZuivelNL"
"103967","20/9/2004","3020","Butter","ZuivelNL"
"103968","27/9/2004","3020","Butter","ZuivelNL"
"103969","4/10/2004","3020","Butter","ZuivelNL"
"103970","11/10/2004","3020","Butter","ZuivelNL"
"103971","18/10/2004","3020","Butter","ZuivelNL"
"103972","25/10/2004","3020","Butter","ZuivelNL"
"103973","8/11/2004","3000","Butter","ZuivelNL"
"103974","15/11/2004","3000","Butter","ZuivelNL"
"103975","22/11/2004","2990","Butter","ZuivelNL"
"103976","29/11/2004","2970","Butter","ZuivelNL"
"103977","6/12/2004","2950","Butter","ZuivelNL"
"103978","13/12/2004","2950","Butter","ZuivelNL"
"103979","20/12/2004","2950","Butter","ZuivelNL"
"103980","3/1/2005","2930","Butter","ZuivelNL"
"103981","10/1/2005","2930","Butter","ZuivelNL"
"103982","17/1/2005","2930","Butter","ZuivelNL"
"103983","24/1/2005","2930","Butter","ZuivelNL"
"103984","31/1/2005","2930","Butter","ZuivelNL"
"103985","7/2/2005","2880","Butter","ZuivelNL"
"103986","14/2/2005","2880","Butter","ZuivelNL"
"103987","21/2/2005","2850","Butter","ZuivelNL"
"103988","28/2/2005","2850","Butter","ZuivelNL"
"103989","7/3/2005","2850","Butter","ZuivelNL"
"103990","14/3/2005","2850","Butter","ZuivelNL"
"103991","21/3/2005","2850","Butter","ZuivelNL"
"103992","28/3/2005","2850","Butter","ZuivelNL"
"103993","4/4/2005","2850","Butter","ZuivelNL"
"103994","11/4/2005","2850","Butter","ZuivelNL"
"103995","18/4/2005","2850","Butter","ZuivelNL"
"103996","25/4/2005","2850","Butter","ZuivelNL"
"103997","2/5/2005","2850","Butter","ZuivelNL"
"103998","9/5/2005","2850","Butter","ZuivelNL"
"103999","16/5/2005","2850","Butter","ZuivelNL"
"104000","23/5/2005","2850","Butter","ZuivelNL"
"104001","30/5/2005","2850","Butter","ZuivelNL"
"104002","6/6/2005","2850","Butter","ZuivelNL"
"104003","13/6/2005","2850","Butter","ZuivelNL"
"104004","20/6/2005","2850","Butter","ZuivelNL"
"104005","27/6/2005","2850","Butter","ZuivelNL"
"104006","4/7/2005","2850","Butter","ZuivelNL"
"104007","11/7/2005","2850","Butter","ZuivelNL"
"104008","18/7/2005","2850","Butter","ZuivelNL"
"104009","25/7/2005","2820","Butter","ZuivelNL"
"104010","1/8/2005","2820","Butter","ZuivelNL"
"104011","8/8/2005","2770","Butter","ZuivelNL"
"104012","15/8/2005","2750","Butter","ZuivelNL"
"104013","22/8/2005","2750","Butter","ZuivelNL"
"104014","29/8/2005","2720","Butter","ZuivelNL"
"104015","5/9/2005","2720","Butter","ZuivelNL"
"104016","12/9/2005","2720","Butter","ZuivelNL"
"104017","19/9/2005","2720","Butter","ZuivelNL"
"104018","26/9/2005","2720","Butter","ZuivelNL"
"104019","3/10/2005","2720","Butter","ZuivelNL"
"104020","10/10/2005","2720","Butter","ZuivelNL"
"104021","17/10/2005","2700","Butter","ZuivelNL"
"104022","24/10/2005","2700","Butter","ZuivelNL"
"104023","31/10/2005","2700","Butter","ZuivelNL"
"104024","7/11/2005","2680","Butter","ZuivelNL"
"104025","14/11/2005","2650","Butter","ZuivelNL"
"104026","21/11/2005","2630","Butter","ZuivelNL"
"104027","28/11/2005","2630","Butter","ZuivelNL"
"104028","5/12/2005","2630","Butter","ZuivelNL"
"104029","12/12/2005","2630","Butter","ZuivelNL"
"104030","19/12/2005","2630","Butter","ZuivelNL"
"104031","2/1/2006","2610","Butter","ZuivelNL"
"104032","9/1/2006","2610","Butter","ZuivelNL"
"104033","16/1/2006","2590","Butter","ZuivelNL"
"104034","23/1/2006","2590","Butter","ZuivelNL"
"104035","30/1/2006","2570","Butter","ZuivelNL"
"104036","6/2/2006","2560","Butter","ZuivelNL"
"104037","13/2/2006","2560","Butter","ZuivelNL"
"104038","20/2/2006","2560","Butter","ZuivelNL"
"104039","27/2/2006","2560","Butter","ZuivelNL"
"104040","6/3/2006","2560","Butter","ZuivelNL"
"104041","13/3/2006","2560","Butter","ZuivelNL"
"104042","20/3/2006","2560","Butter","ZuivelNL"
"104043","3/4/2006","2560","Butter","ZuivelNL"
"104044","10/4/2006","2560","Butter","ZuivelNL"
"104045","17/4/2006","2560","Butter","ZuivelNL"
"104046","24/4/2006","2560","Butter","ZuivelNL"
"104047","1/5/2006","2520","Butter","ZuivelNL"
"104048","8/5/2006","2520","Butter","ZuivelNL"
"104049","15/5/2006","2520","Butter","ZuivelNL"
"104050","22/5/2006","2520","Butter","ZuivelNL"
"104051","29/5/2006","2520","Butter","ZuivelNL"
"104052","5/6/2006","2500","Butter","ZuivelNL"
"104053","12/6/2006","2500","Butter","ZuivelNL"
"104054","19/6/2006","2480","Butter","ZuivelNL"
"104055","3/7/2006","2480","Butter","ZuivelNL"
"104056","10/7/2006","2480","Butter","ZuivelNL"
"104057","17/7/2006","2480","Butter","ZuivelNL"
"104058","24/7/2006","2480","Butter","ZuivelNL"
"104059","31/7/2006","2480","Butter","ZuivelNL"
"104060","7/8/2006","2480","Butter","ZuivelNL"
"104061","14/8/2006","2480","Butter","ZuivelNL"
"104062","21/8/2006","2480","Butter","ZuivelNL"
"104063","28/8/2006","2480","Butter","ZuivelNL"
"104064","4/9/2006","2480","Butter","ZuivelNL"
"104065","11/9/2006","2480","Butter","ZuivelNL"
"104066","18/9/2006","2480","Butter","ZuivelNL"
"104067","25/9/2006","2480","Butter","ZuivelNL"
"104068","2/10/2006","2480","Butter","ZuivelNL"
"104069","9/10/2006","2500","Butter","ZuivelNL"
"104070","16/10/2006","2520","Butter","ZuivelNL"
"104071","23/10/2006","2520","Butter","ZuivelNL"
"104072","6/11/2006","2560","Butter","ZuivelNL"
"104073","13/11/2006","2560","Butter","ZuivelNL"
"104074","20/11/2006","2560","Butter","ZuivelNL"
"104075","4/12/2006","2560","Butter","ZuivelNL"
"104076","11/12/2006","2560","Butter","ZuivelNL"
"104077","18/12/2006","2560","Butter","ZuivelNL"
"104078","1/1/2007","2560","Butter","ZuivelNL"
"104079","8/1/2007","2560","Butter","ZuivelNL"
"104080","15/1/2007","2560","Butter","ZuivelNL"
"104081","22/1/2007","2560","Butter","ZuivelNL"
"104082","29/1/2007","2560","Butter","ZuivelNL"
"104083","5/2/2007","2560","Butter","ZuivelNL"
"104084","12/2/2007","2560","Butter","ZuivelNL"
"104085","19/2/2007","2560","Butter","ZuivelNL"
"104086","26/2/2007","2580","Butter","ZuivelNL"
"104087","5/3/2007","2600","Butter","ZuivelNL"
"104088","12/3/2007","2620","Butter","ZuivelNL"
"104089","19/3/2007","2650","Butter","ZuivelNL"
"104090","26/3/2007","2680","Butter","ZuivelNL"
"104091","2/4/2007","2720","Butter","ZuivelNL"
"104092","9/4/2007","2750","Butter","ZuivelNL"
"104093","16/4/2007","2780","Butter","ZuivelNL"
"104094","23/4/2007","2800","Butter","ZuivelNL"
"104095","30/4/2007","2850","Butter","ZuivelNL"
"104096","7/5/2007","2880","Butter","ZuivelNL"
"104097","14/5/2007","2900","Butter","ZuivelNL"
"104098","21/5/2007","2900","Butter","ZuivelNL"
"104099","28/5/2007","2950","Butter","ZuivelNL"
"104100","4/6/2007","3000","Butter","ZuivelNL"
"104101","11/6/2007","3100","Butter","ZuivelNL"
"104102","18/6/2007","3150","Butter","ZuivelNL"
"104103","25/6/2007","3420","Butter","ZuivelNL"
"104104","9/7/2007","3670","Butter","ZuivelNL"
"104105","16/7/2007","3860","Butter","ZuivelNL"
"104106","23/7/2007","4000","Butter","ZuivelNL"
"104107","30/7/2007","4050","Butter","ZuivelNL"
"104108","6/8/2007","4100","Butter","ZuivelNL"
"104109","13/8/2007","4200","Butter","ZuivelNL"
"104110","20/8/2007","4300","Butter","ZuivelNL"
"104111","27/8/2007","4350","Butter","ZuivelNL"
"104112","3/9/2007","4350","Butter","ZuivelNL"
"104113","10/9/2007","4370","Butter","ZuivelNL"
"104114","17/9/2007","4370","Butter","ZuivelNL"
"104115","24/9/2007","4370","Butter","ZuivelNL"
"104116","8/10/2007","4370","Butter","ZuivelNL"
"104117","15/10/2007","4340","Butter","ZuivelNL"
"104118","22/10/2007","4340","Butter","ZuivelNL"
"104119","29/10/2007","4240","Butter","ZuivelNL"
"104120","5/11/2007","4140","Butter","ZuivelNL"
"104121","12/11/2007","4070","Butter","ZuivelNL"
"104122","26/11/2007","3800","Butter","ZuivelNL"
"104123","3/12/2007","3680","Butter","ZuivelNL"
"104124","10/12/2007","3400","Butter","ZuivelNL"
"104125","17/12/2007","3000","Butter","ZuivelNL"
"104126","7/1/2008","2800","Butter","ZuivelNL"
"104127","14/1/2008","2830","Butter","ZuivelNL"
"104128","21/1/2008","2870","Butter","ZuivelNL"
"104129","28/1/2008","2900","Butter","ZuivelNL"
"104130","4/2/2008","2900","Butter","ZuivelNL"
"104131","18/2/2008","2900","Butter","ZuivelNL"
"104132","25/2/2008","2900","Butter","ZuivelNL"
"104133","3/3/2008","2900","Butter","ZuivelNL"
"104134","10/3/2008","2870","Butter","ZuivelNL"
"104135","17/3/2008","2800","Butter","ZuivelNL"
"104136","24/3/2008","2800","Butter","ZuivelNL"
"104137","31/3/2008","2800","Butter","ZuivelNL"
"104138","7/4/2008","2770","Butter","ZuivelNL"
"104139","14/4/2008","2720","Butter","ZuivelNL"
"104140","21/4/2008","2690","Butter","ZuivelNL"
"104141","28/4/2008","2640","Butter","ZuivelNL"
"104142","5/5/2008","2640","Butter","ZuivelNL"
"104143","12/5/2008","2640","Butter","ZuivelNL"
"104144","19/5/2008","2640","Butter","ZuivelNL"
"104145","26/5/2008","2670","Butter","ZuivelNL"
"104146","2/6/2008","2700","Butter","ZuivelNL"
"104147","9/6/2008","2740","Butter","ZuivelNL"
"104148","16/6/2008","2760","Butter","ZuivelNL"
"104149","23/6/2008","2800","Butter","ZuivelNL"
"104150","30/6/2008","2870","Butter","ZuivelNL"
"104151","7/7/2008","2890","Butter","ZuivelNL"
"104152","14/7/2008","2890","Butter","ZuivelNL"
"104153","21/7/2008","2890","Butter","ZuivelNL"
"104154","28/7/2008","2850","Butter","ZuivelNL"
"104155","4/8/2008","2820","Butter","ZuivelNL"
"104156","11/8/2008","2820","Butter","ZuivelNL"
"104157","18/8/2008","2790","Butter","ZuivelNL"
"104158","25/8/2008","2760","Butter","ZuivelNL"
"104159","1/9/2008","2680","Butter","ZuivelNL"
"104160","8/9/2008","2600","Butter","ZuivelNL"
"104161","15/9/2008","2500","Butter","ZuivelNL"
"104162","22/9/2008","2420","Butter","ZuivelNL"
"104163","29/9/2008","2370","Butter","ZuivelNL"
"104164","6/10/2008","2330","Butter","ZuivelNL"
"104165","13/10/2008","2300","Butter","ZuivelNL"
"104166","20/10/2008","2250","Butter","ZuivelNL"
"104167","27/10/2008","2190","Butter","ZuivelNL"
"104168","3/11/2008","2170","Butter","ZuivelNL"
"104169","10/11/2008","2140","Butter","ZuivelNL"
"104170","17/11/2008","2120","Butter","ZuivelNL"
"104171","24/11/2008","2120","Butter","ZuivelNL"
"104172","1/12/2008","2120","Butter","ZuivelNL"
"104173","8/12/2008","2120","Butter","ZuivelNL"
"104174","15/12/2008","2100","Butter","ZuivelNL"
"104175","5/1/2009","2100","Butter","ZuivelNL"
"104176","12/1/2009","2050","Butter","ZuivelNL"
"104177","19/1/2009","2050","Butter","ZuivelNL"
"104178","26/1/2009","2070","Butter","ZuivelNL"
"104179","2/2/2009","2070","Butter","ZuivelNL"
"104180","9/2/2009","2100","Butter","ZuivelNL"
"104181","16/2/2009","2120","Butter","ZuivelNL"
"104182","23/2/2009","2120","Butter","ZuivelNL"
"104183","2/3/2009","2140","Butter","ZuivelNL"
"104184","9/3/2009","2140","Butter","ZuivelNL"
"104185","16/3/2009","2140","Butter","ZuivelNL"
"104186","23/3/2009","2140","Butter","ZuivelNL"
"104187","30/3/2009","2160","Butter","ZuivelNL"
"104188","6/4/2009","2160","Butter","ZuivelNL"
"104189","13/4/2009","2160","Butter","ZuivelNL"
"104190","20/4/2009","2180","Butter","ZuivelNL"
"104191","27/4/2009","2180","Butter","ZuivelNL"
"104192","4/5/2009","2180","Butter","ZuivelNL"
"104193","11/5/2009","2180","Butter","ZuivelNL"
"104194","18/5/2009","2180","Butter","ZuivelNL"
"104195","25/5/2009","2190","Butter","ZuivelNL"
"104196","1/6/2009","2190","Butter","ZuivelNL"
"104197","8/6/2009","2210","Butter","ZuivelNL"
"104198","15/6/2009","2230","Butter","ZuivelNL"
"104199","22/6/2009","2250","Butter","ZuivelNL"
"104200","29/6/2009","2260","Butter","ZuivelNL"
"104201","6/7/2009","2260","Butter","ZuivelNL"
"104202","13/7/2009","2290","Butter","ZuivelNL"
"104203","27/7/2009","2300","Butter","ZuivelNL"
"104204","3/8/2009","2310","Butter","ZuivelNL"
"104205","10/8/2009","2330","Butter","ZuivelNL"
"104206","17/8/2009","2350","Butter","ZuivelNL"
"104207","24/8/2009","2380","Butter","ZuivelNL"
"104208","31/8/2009","2400","Butter","ZuivelNL"
"104209","7/9/2009","2440","Butter","ZuivelNL"
"104210","14/9/2009","2500","Butter","ZuivelNL"
"104211","21/9/2009","2550","Butter","ZuivelNL"
"104212","28/9/2009","2670","Butter","ZuivelNL"
"104213","5/10/2009","2900","Butter","ZuivelNL"
"104214","12/10/2009","3000","Butter","ZuivelNL"
"104215","19/10/2009","3180","Butter","ZuivelNL"
"104216","26/10/2009","3300","Butter","ZuivelNL"
"104217","2/11/2009","3380","Butter","ZuivelNL"
"104218","16/11/2009","3380","Butter","ZuivelNL"
"104219","30/11/2009","3380","Butter","ZuivelNL"
"104220","7/12/2009","3380","Butter","ZuivelNL"
"104221","14/12/2009","3330","Butter","ZuivelNL"
"104222","4/1/2010","3150","Butter","ZuivelNL"
"104223","11/1/2010","3090","Butter","ZuivelNL"
"104224","18/1/2010","3000","Butter","ZuivelNL"
"104225","25/1/2010","2950","Butter","ZuivelNL"
"104226","1/2/2010","2930","Butter","ZuivelNL"
"104227","8/2/2010","2900","Butter","ZuivelNL"
"104228","15/2/2010","2870","Butter","ZuivelNL"
"104229","22/2/2010","2850","Butter","ZuivelNL"
"104230","1/3/2010","2850","Butter","ZuivelNL"
"104231","8/3/2010","2830","Butter","ZuivelNL"
"104232","15/3/2010","2830","Butter","ZuivelNL"
"104233","29/3/2010","2870","Butter","ZuivelNL"
"104234","5/4/2010","2920","Butter","ZuivelNL"
"104235","12/4/2010","3000","Butter","ZuivelNL"
"104236","26/4/2010","3250","Butter","ZuivelNL"
"104237","3/5/2010","3600","Butter","ZuivelNL"
"104238","17/5/2010","3700","Butter","ZuivelNL"
"104239","24/5/2010","3700","Butter","ZuivelNL"
"104240","31/5/2010","3700","Butter","ZuivelNL"
"104241","7/6/2010","3700","Butter","ZuivelNL"
"104242","14/6/2010","3740","Butter","ZuivelNL"
"104243","21/6/2010","3760","Butter","ZuivelNL"
"104244","28/6/2010","3780","Butter","ZuivelNL"
"104245","5/7/2010","3780","Butter","ZuivelNL"
"104246","12/7/2010","3780","Butter","ZuivelNL"
"104247","19/7/2010","3780","Butter","ZuivelNL"
"104248","26/7/2010","3780","Butter","ZuivelNL"
"104249","2/8/2010","3780","Butter","ZuivelNL"
"104250","9/8/2010","3780","Butter","ZuivelNL"
"104251","16/8/2010","3740","Butter","ZuivelNL"
"104252","23/8/2010","3740","Butter","ZuivelNL"
"104253","30/8/2010","3760","Butter","ZuivelNL"
"104254","6/9/2010","3760","Butter","ZuivelNL"
"104255","13/9/2010","3760","Butter","ZuivelNL"
"104256","20/9/2010","3790","Butter","ZuivelNL"
"104257","27/9/2010","3790","Butter","ZuivelNL"
"104258","4/10/2010","3790","Butter","ZuivelNL"
"104259","18/10/2010","3770","Butter","ZuivelNL"
"104260","25/10/2010","3750","Butter","ZuivelNL"
"104261","1/11/2010","3720","Butter","ZuivelNL"
"104262","8/11/2010","3690","Butter","ZuivelNL"
